Isolate_ID,year,cluster_id,US_region,Michigan_human,Michigan_cattle
102093,2019,Cluster 1,Region 6,No,No
102107,2019,Cluster 1,Region 5,No,No
102123,2019,Cluster 1,Region 9,No,No
102129,2019,Cluster 1,Region 7,No,No
102131,2019,Cluster 1,Region 10,No,No
102197,2019,Cluster 1,Region 7,No,No
102212,2015,Cluster 1,Region 4,No,No
102223,2015,Cluster 1,Region 4,No,No
102246,2018,Cluster 2,Region 3,No,No
102288,2018,Cluster 2,Region 2,No,No
102296,2018,Cluster 2,Region 9,No,No
102317,2018,Cluster 1,Region 7,No,No
102339,2018,Cluster 1,Region 5,No,No
102437,2017,Cluster 2,Region 10,No,No
102462,2018,Cluster 1,Region 3,No,No
102502,2018,Cluster 1,Region 9,No,No
102517,2018,Cluster 1,Region 9,No,No
102561,2018,Cluster 2,Region 8,No,No
102564,2018,Cluster 1,Region 7,No,No
102581,2018,Cluster 1,Region 5,No,No
102585,2017,Cluster 2,Region 9,No,No
102632,2018,Cluster 1,Region 7,No,No
102665,2018,Cluster 2,Region 7,No,No
102719,2017,Cluster 1,Region 6,No,No
102795,2017,Cluster 2,Region 5,No,No
102805,2018,Cluster 1,Region 5,No,No
102814,2017,Cluster 1,Region 5,No,No
102835,2017,Cluster 1,Region 5,No,No
102850,2018,Cluster 1,Region 9,No,No
102853,2018,Cluster 2,Region 9,No,No
102891,2018,Cluster 1,Region 10,No,No
102923,2018,Cluster 1,Region 10,No,No
102932,2017,Cluster 1,Region 6,No,No
102957,2018,Cluster 1,Region 9,No,No
102961,2018,Cluster 2,Region 8,No,No
102964,2018,Cluster 1,Region 8,No,No
102972,2018,Cluster 2,Region 7,No,No
102994,2017,Cluster 1,Region 7,No,No
103025,2017,Cluster 2,Region 9,No,No
103028,2017,Cluster 1,Region 7,No,No
103058,2017,Cluster 1,Region 10,No,No
103064,2017,Cluster 1,Region 9,No,No
103086,2017,Cluster 1,Region 5,No,No
103090,2017,Cluster 2,Region 9,No,No
103132,2017,Cluster 2,Region 5,No,No
103137,2017,Cluster 2,Region 5,No,No
103145,2017,Cluster 1,Region 5,No,No
103164,2017,Cluster 2,Region 9,No,No
103168,2017,Cluster 1,Region 8,No,No
103176,2017,Cluster 1,Region 6,No,No
103182,2017,Cluster 1,Region 8,No,No
103201,2017,Cluster 1,Region 10,No,No
103241,2017,Cluster 2,Region 10,No,No
103250,2017,Cluster 1,Region 9,No,No
103270,2017,Cluster 2,Region 4,No,No
103276,2017,Cluster 1,Region 8,No,No
103281,2017,Cluster 2,Region 9,No,No
103294,2017,Cluster 2,Region 9,No,No
103332,2017,Cluster 1,Region 5,No,No
103334,2017,Cluster 1,Region 10,No,No
103336,2017,Cluster 1,Region 2,No,No
103355,2018,Cluster 2,Region 6,No,No
103400,2018,Cluster 1,Region 6,No,No
103426,2018,Cluster 1,Region 5,No,No
103433,2018,Cluster 1,Region 6,No,No
103435,2018,Singleton,Region 5,No,No
103442,2017,Cluster 1,Region 7,No,No
103491,2017,Cluster 7,Region 7,No,No
103510,2017,Cluster 2,Region 5,No,No
103524,2017,Cluster 2,Region 10,No,No
103564,2017,Singleton,Region 5,No,No
103582,2017,Cluster 1,Region 6,No,No
103589,2017,Cluster 1,Region 4,No,No
103637,2017,Cluster 2,Region 6,No,No
103653,2017,Cluster 1,Region 5,No,No
103655,2017,Cluster 2,Region 10,No,No
103660,2017,Cluster 2,Region 6,No,No
103680,2017,Cluster 1,Region 5,No,No
103684,2017,Cluster 1,Region 5,No,No
103696,2017,Cluster 1,Region 8,No,No
103700,2017,Cluster 1,Region 7,No,No
103701,2017,Cluster 2,Region 5,No,No
103711,2017,Cluster 2,Region 4,No,No
103715,2017,Singleton,Region 10,No,No
103753,2017,Cluster 2,Region 9,No,No
103783,2017,Cluster 2,Region 10,No,No
